model,hidden_channels,learning_rate,val_loss,precision_val_macro,recall_val_macro,f1_val_macro,mcc_val_macro
GAT,64,0.0022360679774997894,0.726670429110527,0.5683956797849163,0.592762140426848,0.5579410773275805,0.20530810013335712
GIN,64,0.0022360679774997894,0.7656598687171936,0.5623448059091624,0.42532782198727137,0.4155298155298155,0.1521834469371699
GCN,64,0.004728708045015879,0.7371223717927933,0.5883654170888214,0.6328093805359503,0.5577448072474411,0.21815020108203148
GAT,64,0.004728708045015879,0.742209866642952,0.6259035567059725,0.6150343521825118,0.5372216683283483,0.19443502974703344
GIN,64,0.004728708045015879,0.7837207838892937,0.5261799660441425,0.5370731753039207,0.5084254322231293,0.1526682583338103
GCN,64,0.01,0.9020301848649979,0.701058201058201,0.5097770154373927,0.4318772494939869,0.144828840105198
GAT,64,0.01,0.8531656935811043,0.7073170731707318,0.521341469129901,0.44559663857909465,0.20464879099710337
GIN,64,0.01,0.8216081261634827,0.5077542924440587,0.5194049995782133,0.46856838937318385,0.144828840105198
GCN,32,0.0004999999999999999,0.7299222350120544,0.5151799687010955,0.6105352941727826,0.5484289184353274,0.16138783310243857
GAT,32,0.0004999999999999999,0.7150826901197433,0.5799907081049448,0.5809671100113413,0.5643992601957204,0.24683082684409027
GIN,32,0.0004999999999999999,0.7243547737598419,0.5251052430156907,0.7204341590979388,0.6054894015821826,0.18579301481279575
GCN,32,0.001057371263440564,0.7207232117652893,0.5596223754118491,0.5656271968056688,0.554451676753835,0.2147756095237515
GAT,32,0.001057371263440564,0.7266648709774017,0.5557529239766082,0.5841764380582816,0.5530010477473433,0.19359181788471877
GIN,32,0.001057371263440564,0.7295897006988525,0.5356751640951692,0.7166680726222947,0.6056680161943321,0.19343222397076523
GCN,32,0.0022360679774997894,0.7238513082265854,0.5778692900175398,0.5043931426857501,0.4898141074611663,0.20231272777021767
GAT,32,0.0022360679774997894,0.7257329523563385,0.5419004938969411,0.6103478334223772,0.5647096299926488,0.20865213408340244
GIN,32,0.0022360679774997894,0.7545999139547348,0.5076923076923077,0.6509668288202158,0.5217316476870617,0.07471530050958791
GCN,32,0.004728708045015879,0.7316623777151108,0.5801660908043887,0.6453692508131109,0.5747231896540962,0.19464835233880817
GAT,32,0.004728708045015879,0.8074077591300011,0.6501185089420384,0.41523306057794146,0.36666666666666664,0.1411144950529578
GIN,32,0.004728708045015879,0.7536761537194252,0.5771754019176699,0.5528292513754932,0.5267473743707033,0.20897096261224526
GCN,32,0.01,0.7548815011978149,0.5778420851670988,0.42569524505806594,0.42606400400747546,0.16784782158704856
GAT,32,0.01,0.7426486611366272,0.5705442284389654,0.6120087356709689,0.5083032698210305,0.09509149123952355
GIN,32,0.01,0.759251281619072,0.5377979833304191,0.6048946001930845,0.4834718432150831,-0.0016043058312626697
GCN,16,0.0004999999999999999,0.7213518172502518,0.6015705931495405,0.6084188623007057,0.5807162748239434,0.2554503966377336
